feature,spearman_rho_y
72_kda_pro_mmp_2,-0.6603573545052355
emmprin,0.4469932389477772
wyniki_fgf23_pg_ml,0.34963321673345954
tnfalfa_pg_ml,-0.2255729615482161
hdl,-0.19789462667072874
wyniki_klotho_pg_ml,-0.17729873750792238
il_6_pg_ml,-0.14668299802422832
cholesterol_calkowity_tc,-0.09242822679861867
ldl,-0.07953255428487642
non_hdl_calkowity_hdl,-0.034391340807486966
