feature,spearman_rho_y
ile_lat_miazdzyca_t_szyjnych,-0.8660254037844387
wbc_przyjecie,0.2965724336496156
waga_kg,0.28942143047668634
leukocytoza_przyjecie_10000,0.27774602993176545
klop,-0.275
ile_lat_1,0.232181730106286
czy_pali,0.23025620761871637
wzrost_cm,0.20644125230729835
trijglicerydy_tg,0.19881204758641755
bmi,0.19771815988519495
obwod_bioder,0.19087800808288016
hb_przyjecie,0.18812339600735634
ht_przyjecie,0.17302021438601745
bb,0.16854996561581054
arb,-0.16854996561581054
petlowy,0.1517857142857143
zaburzenia_rytmu,-0.13126849933978418
hba1c,0.12921283922558988
crt_d_device,-0.1181138978153835
zapalenie_miesnia_serca,-0.1181138978153835
wrodzona_wada_serca,-0.1181138978153835
otylosc_bmi_30,0.1093927932579803
stymulator,-0.10441323020340591
gfr_min,-0.08820649190971627
pct_przyjecie,0.08613982402087329
crp_5_zapalenie,-0.08406728074767077
cad,-0.0819891591749923
kwas_moczowy,0.07675638711613314
noac,0.07060782616876879
rbc_przyjecie,0.06555318017272131
ile_lat_pali,-0.0649857608531289
plt_przyjecie,0.055879588071557955
ace_i,0.05178571428571429
cukrzyca_dm,0.05
krwawienie,-0.05
pdw_przyjecie,0.04355159210939795
zaburzenia_homeostazy_glukozy_6,0.04203027620236463
p_lcr_przyjecie,0.03349034405260089
mpv_przyjecie,0.0312956537862118
wiek_w_momencie_zbiorki,-0.02367515513250291
nadcisnienie_tetnicze_nt,-0.008006407690254357
nabyta_wada_serca,0.0013803940759355819
ile_lat_mizdzyca_konczyn,0.0
