feature,perm_auc_drop
72_kda_pro_mmp_2,0.28568253968253965
emmprin,0.05884126984126982
wyniki_fgf23_pg_ml,0.048952380952380956
tnfalfa_pg_ml,0.029333333333333315
hdl,0.021031746031746013
ldl,0.001444444444444424
il_6_pg_ml,0.0008253968253968062
non_hdl_calkowity_hdl,-0.0024761904761904864
wyniki_klotho_pg_ml,-0.0051904761904761985
cholesterol_calkowity_tc,-0.005920634920634933
