variant,k_removed,removed_feature,auc_mean,auc_sd,mcc_mean,mcc_sd,auc_oof
BIOMARKERS,0,NONE,0.9480952380952381,0.04938396004983885,0.6898774157739029,0.09117051381432635,0.914375
BIOMARKERS,1,72_kda_pro_mmp_2,0.8104761904761905,0.14055284429998677,0.5516580725449327,0.18853517425391317,0.765625
BIOMARKERS,2,emmprin,0.7028571428571428,0.10388431119942358,0.255212458420902,0.2715756236495834,0.666875
BIOMARKERS,3,wyniki_fgf23_pg_ml,0.6076190476190476,0.1510957708633472,0.11236017456605266,0.13293370496882523,0.61625
BIOMARKERS,4,tnfalfa_pg_ml,0.5442857142857143,0.16440299471482206,-0.08330429300913904,0.25429214640917064,0.559375
BIOMARKERS,5,hdl,0.47333333333333333,0.17857460314638499,-0.04539311361432705,0.31098238829748914,0.53625
BIOMARKERS,6,ldl,0.4833333333333334,0.17723307994234697,0.03802020029934848,0.3144638689991924,0.5075
BIOMARKERS,7,il_6_pg_ml,0.519047619047619,0.1342654493321113,0.04272711677319289,0.30418118436799063,0.48500000000000004
BIOMARKERS,8,non_hdl_calkowity_hdl,0.36619047619047623,0.08265712036168005,-0.16803099668423366,0.21254555297355002,0.37875
BIOMARKERS,9,wyniki_klotho_pg_ml,0.3914285714285715,0.13232612773610758,0.021472887929379337,0.2685554999499695,0.4175
