variant,model,outer_fold,threshold_method,calibration,threshold,sens,spec,ppv,npv,youdenJ
BIOMARKERS,RF,4,youden,uncalibrated,0.54,1.0,1.0,1.0,1.0,1.0
BIOMARKERS,RF,5,youden,uncalibrated,0.54,1.0,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333335
CLINICAL,RF,1,f1,isotonic_crossfit,0.01,1.0,0.0,0.4166666666666667,,0.0
CLINICAL,RF,2,f1,isotonic_crossfit,0.01,1.0,0.0,0.4166666666666667,,0.0
CLINICAL,RF,3,f1,isotonic_crossfit,0.26,0.4,0.6666666666666666,0.5,0.5714285714285714,0.06666666666666665
CLINICAL,RF,4,f1,isotonic_crossfit,0.26,0.8,0.0,0.4,0.0,-0.19999999999999996
CLINICAL,RF,5,f1,isotonic_crossfit,0.01,1.0,0.16666666666666666,0.5,1.0,0.16666666666666674
CLINICAL,RF,1,f1,platt_crossfit,0.34,1.0,0.0,0.4166666666666667,,0.0
CLINICAL,RF,2,f1,platt_crossfit,0.32,1.0,0.0,0.4166666666666667,,0.0
CLINICAL,RF,3,f1,platt_crossfit,0.39,0.4,0.6666666666666666,0.5,0.5714285714285714,0.06666666666666665
CLINICAL,RF,4,f1,platt_crossfit,0.37,0.8,0.0,0.4,0.0,-0.19999999999999996
CLINICAL,RF,5,f1,platt_crossfit,0.35000000000000003,1.0,0.16666666666666666,0.5,1.0,0.16666666666666674
CLINICAL,RF,1,f1,uncalibrated,0.33,1.0,0.0,0.4166666666666667,,0.0
CLINICAL,RF,2,f1,uncalibrated,0.28,1.0,0.0,0.4166666666666667,,0.0
CLINICAL,RF,3,f1,uncalibrated,0.44,0.4,0.6666666666666666,0.5,0.5714285714285714,0.06666666666666665
CLINICAL,RF,4,f1,uncalibrated,0.37,0.8,0.0,0.4,0.0,-0.19999999999999996
CLINICAL,RF,5,f1,uncalibrated,0.33,1.0,0.16666666666666666,0.5,1.0,0.16666666666666674
CLINICAL,RF,1,mcc,isotonic_crossfit,0.51,0.0,1.0,,0.5833333333333334,0.0
CLINICAL,RF,2,mcc,isotonic_crossfit,0.51,0.0,1.0,,0.5833333333333334,0.0
CLINICAL,RF,3,mcc,isotonic_crossfit,0.41000000000000003,0.2,0.6666666666666666,0.3333333333333333,0.5,-0.1333333333333333
CLINICAL,RF,4,mcc,isotonic_crossfit,0.26,0.8,0.0,0.4,0.0,-0.19999999999999996
CLINICAL,RF,5,mcc,isotonic_crossfit,0.35000000000000003,0.4,0.5,0.4,0.5,-0.09999999999999998
CLINICAL,RF,1,mcc,platt_crossfit,0.56,0.0,1.0,,0.5833333333333334,0.0
CLINICAL,RF,2,mcc,platt_crossfit,0.53,0.0,1.0,,0.5833333333333334,0.0
