variant,model,n_folds,roc_auc_mean,roc_auc_sd,auprc_mean,auprc_sd,brier_mean,brier_sd,n_features
BIOMARKERS,RF,5,0.9495238095238097,0.05057492589467338,0.9339999999999999,0.07402702209328696,0.1107190777456297,0.030842664754327325,10.0
CLINICAL,RF,5,0.5942857142857143,0.11544059343335386,0.6164357864357864,0.1567404431293076,0.23660782198535407,0.00988828929867134,58.0
FULL,RF,5,0.9942857142857143,0.012777531299998738,0.9933333333333334,0.014907119849998662,0.0775642363636363,0.05706018497851679,69.0
