variant,model,n_folds,roc_auc_mean,roc_auc_sd,auprc_mean,auprc_sd,brier_mean,brier_sd,n_features,oof_n,roc_auc_ci95_lo,roc_auc_ci95_hi,auprc_ci95_lo,auprc_ci95_hi,brier_ci95_lo,brier_ci95_hi,oof_roc_auc,oof_auprc,oof_brier
BIOMARKERS,RF,5,0.9495238095238097,0.05057492589467338,0.9339999999999999,0.07402702209328696,0.1107190777456297,0.030842664754327325,10.0,57,0.85371875,0.9862812500000002,0.7905552879213089,0.9857621060670834,0.0778860326975158,0.1485417202283921,0.93,0.8928080256730953,0.1114693322362291
CLINICAL,RF,5,0.5942857142857143,0.11544059343335386,0.6164357864357864,0.1567404431293076,0.23660782198535407,0.00988828929867134,58.0,57,0.44625,0.7450312500000003,0.4526520386517456,0.7322515174872375,0.2171633479386107,0.2561728844010101,0.6025,0.5796704034296996,0.2364641617905113
FULL,RF,5,0.9942857142857143,0.012777531299998738,0.9933333333333334,0.014907119849998662,0.0775642363636363,0.05706018497851679,69.0,57,0.9925,1.0,0.9914285714285714,1.0000000000000002,0.0596088052631578,0.0960098701754386,0.99875,0.9984615384615384,0.0777290526315789
