variant,model,auc_mean,auc_sd,mcc_mean,mcc_sd,use_rfe_effective,n_select_effective,label_type,perm_id
CLINICAL,LR_L1,0.5955555555555556,0.2100631886120854,0.11324555320336757,0.20516896902206982,False,,permuted,0
CLINICAL,LR_ELNET,0.5985714285714285,0.17551026999946026,0.1953295542119482,0.354668999803119,False,,permuted,0
CLINICAL,SVM_REG,0.6111111111111112,0.1521451548625462,0.2016889457034467,0.27394309376063364,False,,permuted,0
CLINICAL,RF_SHALLOW,0.7201587301587302,0.21052370839509332,0.26418007580132513,0.3007319086255714,False,,permuted,0
CLINICAL,LR_L1,0.38888888888888895,0.238953479640073,-0.22135943621178655,0.34641016151377546,False,,permuted,1
CLINICAL,LR_ELNET,0.3,0.19484086574166867,-0.25298221281347033,0.3278719262151,False,,permuted,1
CLINICAL,SVM_REG,0.4822222222222223,0.3023161618709709,0.05118578920369088,0.44953549535786047,False,,permuted,1
CLINICAL,RF_SHALLOW,0.43111111111111117,0.25085040547291515,-0.1,0.13693063937629155,False,,permuted,1
CLINICAL,LR_L1,0.44000000000000006,0.1341640786499874,-0.011952286093343936,0.02672612419124244,False,,permuted,2
CLINICAL,LR_ELNET,0.42000000000000004,0.13038404810405296,-0.011952286093343936,0.02672612419124244,False,,permuted,2
CLINICAL,SVM_REG,0.46428571428571425,0.12867059667608444,0.03947628533522749,0.18257228942274506,False,,permuted,2
CLINICAL,RF_SHALLOW,0.40285714285714286,0.23950416467769234,-0.05142857142857142,0.330464268345401,False,,permuted,2
CLINICAL,LR_L1,0.4766666666666667,0.08299933065325824,0.051622776601683795,0.17441003746893644,False,,permuted,3
CLINICAL,LR_ELNET,0.4866666666666667,0.09603240193925293,-0.07486832980505138,0.16353414472290664,False,,permuted,3
CLINICAL,SVM_REG,0.45555555555555555,0.1616370725108462,-0.04642493730497227,0.19383953063847395,False,,permuted,3
CLINICAL,RF_SHALLOW,0.3477777777777778,0.04740162001711452,-0.11528877925509136,0.2183376651154189,False,,permuted,3
CLINICAL,LR_L1,0.6946825396825396,0.163015950294413,0.3582538308323196,0.3291166067937922,False,,permuted,4
CLINICAL,LR_ELNET,0.7097619047619048,0.19652667103043253,0.4003088998096633,0.3724962830908131,False,,permuted,4
CLINICAL,SVM_REG,0.40507936507936504,0.22477950339137412,-0.06754518069518937,0.41983490376617505,False,,permuted,4
CLINICAL,RF_SHALLOW,0.6007936507936508,0.13699387483939646,0.08172641363251665,0.3199457412714603,False,,permuted,4
CLINICAL,LR_L1,0.4066666666666666,0.13621877827801698,-0.1732455532033676,0.2512120078122738,False,,permuted,5
CLINICAL,LR_ELNET,0.3855555555555556,0.14821989003662475,-0.1710420005042903,0.16728527731971626,False,,permuted,5
CLINICAL,SVM_REG,0.47777777777777786,0.23190701627490892,0.01581138830084189,0.2524876234590519,False,,permuted,5
CLINICAL,RF_SHALLOW,0.3166666666666667,0.1282599597846133,-0.02544910590244487,0.18198626373858307,False,,permuted,5
CLINICAL,LR_L1,0.6957142857142857,0.2667644378588017,0.32167240775549366,0.5043893115550518,False,,permuted,6
CLINICAL,LR_ELNET,0.6371428571428572,0.24626806366980164,0.11266477710597411,0.4204900491428399,False,,permuted,6
CLINICAL,SVM_REG,0.667142857142857,0.2595423759195388,0.04397011800016165,0.25406214125308113,False,,permuted,6
CLINICAL,RF_SHALLOW,0.7385714285714284,0.17199311803982514,0.22210939515348666,0.28179016892382697,False,,permuted,6
CLINICAL,LR_L1,0.4671428571428571,0.1108977543386679,-0.07714285714285715,0.18255555486548442,False,,permuted,7
CLINICAL,LR_ELNET,0.4771428571428572,0.12194154537641433,-0.11493930444377987,0.12378582334561845,False,,permuted,7
CLINICAL,SVM_REG,0.5260317460317461,0.22784510370521216,-0.055592894601845445,0.18534042543795143,False,,permuted,7
CLINICAL,RF_SHALLOW,0.3238095238095238,0.1487285493975373,-0.2898804483095033,0.23500960459672462,False,,permuted,7
CLINICAL,LR_L1,0.6,0.26925824035672524,0.2376107265086632,0.39692748495163643,False,,permuted,8
CLINICAL,LR_ELNET,0.58,0.2706473720544872,0.2376107265086632,0.39692748495163643,False,,permuted,8
CLINICAL,SVM_REG,0.65,0.25,0.23518130134875856,0.3736471522303903,False,,permuted,8
CLINICAL,RF_SHALLOW,0.7457142857142858,0.1915697773445403,0.3702025790393327,0.35466290668252526,False,,permuted,8
CLINICAL,LR_L1,0.42777777777777776,0.06849348892187751,-0.08869465910581245,0.22157423865648526,False,,permuted,9
CLINICAL,LR_ELNET,0.46777777777777774,0.14111548549650238,-0.15194021230918003,0.2346727216420201,False,,permuted,9
CLINICAL,SVM_REG,0.5355555555555556,0.2109868055086987,-0.07559289460184544,0.2570436316492369,False,,permuted,9
CLINICAL,RF_SHALLOW,0.5088888888888888,0.08320360272351696,-0.15811388300841897,0.3211308144666282,False,,permuted,9
CLINICAL,LR_L1,0.44000000000000006,0.1341640786499874,-0.07905694150420947,0.17677669529663684,False,,permuted,10
CLINICAL,LR_ELNET,0.4066666666666666,0.13621877827801698,-0.20554804791094466,0.2936835031117683,False,,permuted,10
CLINICAL,SVM_REG,0.32999999999999996,0.1616657121010383,0.02162277660168379,0.3791972697884864,False,,permuted,10
CLINICAL,RF_SHALLOW,0.40444444444444444,0.22424083173517698,-0.19937437721170573,0.39313279380875493,False,,permuted,10
CLINICAL,LR_L1,0.6277777777777777,0.2761619671474793,0.10690269965982202,0.5475599591496306,False,,permuted,11
CLINICAL,LR_ELNET,0.62,0.31499559079806533,0.23368138346535838,0.5389724146717948,False,,permuted,11
CLINICAL,SVM_REG,0.681111111111111,0.2751430604316666,0.2408728176599837,0.4156238856027556,False,,permuted,11
CLINICAL,RF_SHALLOW,0.30555555555555564,0.20268262607727444,-0.10796563014522934,0.32138204872289045,False,,permuted,11
CLINICAL,LR_L1,0.4742063492063492,0.10612761206600262,0.018826329300761075,0.13653491525941472,False,,permuted,12
CLINICAL,LR_ELNET,0.4042063492063492,0.19364705304740132,-0.11195228609334393,0.21846330170293984,False,,permuted,12
CLINICAL,SVM_REG,0.4757142857142857,0.16175062691106468,-0.06331652784209606,0.2574680408044649,False,,permuted,12
CLINICAL,RF_SHALLOW,0.5561111111111112,0.056941056809803645,0.12559289460184545,0.17782664802047496,False,,permuted,12
CLINICAL,LR_L1,0.3661904761904761,0.14920803781550387,-0.2595286309016648,0.29761379222196915,False,,permuted,13
CLINICAL,LR_ELNET,0.41507936507936505,0.17350847306180137,0.1,0.22360679774997902,False,,permuted,13
CLINICAL,SVM_REG,0.48507936507936505,0.1675208647030547,-0.10682061589839531,0.3047614676541582,False,,permuted,13
CLINICAL,RF_SHALLOW,0.4074603174603174,0.09886226042151419,-0.019670490508339855,0.17793031472126603,False,,permuted,13
CLINICAL,LR_L1,0.5283333333333333,0.2248147385441325,0.0816227766016838,0.11639223739059888,False,,permuted,14
CLINICAL,LR_ELNET,0.5722222222222222,0.25123153454655583,0.09559289460184545,0.09452322986543275,False,,permuted,14
CLINICAL,SVM_REG,0.5655555555555555,0.3053635760536068,0.06195228609334393,0.10826010323576142,False,,permuted,14
CLINICAL,RF_SHALLOW,0.5083333333333333,0.1475102005261306,-0.07544910590244487,0.20600451925072785,False,,permuted,14
CLINICAL,LR_L1,0.4901587301587302,0.14053514142845713,-0.11685338880513219,0.28446911666210306,False,,permuted,15
CLINICAL,LR_ELNET,0.5599999999999999,0.17926461577549488,-0.06685338880513218,0.32867818901648876,False,,permuted,15
CLINICAL,SVM_REG,0.6642857142857144,0.1286791631715,0.1322875655532295,0.2958039891549808,False,,permuted,15
CLINICAL,RF_SHALLOW,0.5693650793650794,0.21319209468595104,0.0694192239026065,0.2954315244172855,False,,permuted,15
CLINICAL,LR_L1,0.7155555555555555,0.1733119644947718,0.41109609582188933,0.21213203435596423,False,,permuted,16
CLINICAL,LR_ELNET,0.7277777777777777,0.16777409856157222,0.41109609582188933,0.21213203435596423,False,,permuted,16
CLINICAL,SVM_REG,0.6233333333333333,0.16501028774512336,0.22554804791094468,0.16725010494601422,False,,permuted,16
CLINICAL,RF_SHALLOW,0.5133333333333334,0.1471226078085726,0.012928117495871338,0.30918384684696515,False,,permuted,16
CLINICAL,LR_L1,0.39444444444444443,0.16878286145514793,-0.16999999999999998,0.23874672772626643,False,,permuted,17
CLINICAL,LR_ELNET,0.41555555555555557,0.14029290347495166,-0.1016227766016838,0.15480960595100465,False,,permuted,17
CLINICAL,SVM_REG,0.6055555555555555,0.18500917561496347,0.06762726445661611,0.3727278477931328,False,,permuted,17
CLINICAL,RF_SHALLOW,0.41222222222222227,0.18697560413917608,0.03675444679663241,0.29293580918153705,False,,permuted,17
CLINICAL,LR_L1,0.6706349206349206,0.15193801364346546,0.23506917993707294,0.24884332171835294,False,,permuted,18
CLINICAL,LR_ELNET,0.6484126984126984,0.1285126261770557,0.17286562723799564,0.20017570541220284,False,,permuted,18
CLINICAL,SVM_REG,0.5476190476190477,0.22885509294120973,-0.040129875493293075,0.24516186144033802,False,,permuted,18
CLINICAL,RF_SHALLOW,0.6492063492063492,0.2560308111654962,0.01704686017532292,0.40840221343989025,False,,permuted,18
CLINICAL,LR_L1,0.45714285714285713,0.095831484749991,-0.07559289460184544,0.1690308509457033,False,,permuted,19
CLINICAL,LR_ELNET,0.43714285714285717,0.09508320738453563,-0.138838447805213,0.1913612878251101,False,,permuted,19
CLINICAL,SVM_REG,0.29936507936507933,0.1430096188051653,-0.33559289460184544,0.342689432402327,False,,permuted,19
CLINICAL,RF_SHALLOW,0.3485714285714286,0.22443161881587323,-0.2160588140310753,0.4101350217908201,False,,permuted,19
CLINICAL,LR_L1,0.6144444444444445,0.32649466371152036,0.11486832980505138,0.5169686484785585,False,,permuted,20
CLINICAL,LR_ELNET,0.49444444444444446,0.2275066136604808,-0.0806469451991564,0.32278710686609513,False,,permuted,20
CLINICAL,SVM_REG,0.6411111111111112,0.2021336802498733,0.277676895610426,0.3301159946327026,False,,permuted,20
CLINICAL,RF_SHALLOW,0.6655555555555556,0.10674765443978178,0.302793808281713,0.39374832599730336,False,,permuted,20
CLINICAL,LR_L1,0.4671428571428572,0.19688907060182131,-0.04366489703438561,0.3073431847359212,False,,permuted,21
CLINICAL,LR_ELNET,0.5771428571428572,0.3074914964810625,0.22353870038497972,0.4197223943493545,False,,permuted,21
CLINICAL,SVM_REG,0.493015873015873,0.2380597857203595,0.10490110271178828,0.18742632388152453,False,,permuted,21
CLINICAL,RF_SHALLOW,0.44079365079365085,0.14495983405600316,0.1439045721866879,0.20223762487584307,False,,permuted,21
CLINICAL,LR_L1,0.5288888888888889,0.09863262676076513,0.011952286093343936,0.11495340671022201,False,,permuted,22
CLINICAL,LR_ELNET,0.5388888888888889,0.09749960430435695,0.0,0.11180339887498948,False,,permuted,22
CLINICAL,SVM_REG,0.6022222222222222,0.2669732034456355,0.09519783929671152,0.1306314333703952,False,,permuted,22
CLINICAL,RF_SHALLOW,0.40444444444444444,0.14705965867591475,-0.0009430584957905219,0.32258547441080154,False,,permuted,22
CLINICAL,LR_L1,0.5285714285714287,0.08849651209545616,0.2084433925000791,0.16494558889730757,False,,permuted,23
CLINICAL,LR_ELNET,0.5785714285714286,0.1475134030575956,0.25453882031339126,0.17650876277026886,False,,permuted,23
CLINICAL,SVM_REG,0.7214285714285714,0.2423313636241054,0.3283412329043685,0.22384395211200245,False,,permuted,23
CLINICAL,RF_SHALLOW,0.6371428571428572,0.2222565166281373,0.2263434768318347,0.23956076379108354,False,,permuted,23
CLINICAL,LR_L1,0.4522222222222222,0.2014453943717261,-0.055592894601845445,0.18534042543795143,False,,permuted,24
CLINICAL,LR_ELNET,0.4622222222222222,0.2145336601981719,-0.055592894601845445,0.18534042543795143,False,,permuted,24
