variant,model,auc_mean,auc_sd,mcc_mean,mcc_sd,use_rfe_effective,n_select_effective,label_type,perm_id
FULL,LR_L1,1.0,0.0,0.96,0.08944271909999157,False,,true,-1
FULL,LR_ELNET,1.0,0.0,0.0,0.0,False,,true,-1
FULL,SVM_REG,0.95,0.04999999999999999,0.7813594362117866,0.27945802780292217,False,,true,-1
FULL,RF_SHALLOW,0.99,0.02236067977499787,0.8743416490252569,0.11470985561294683,False,,true,-1
CLINICAL,LR_L1,0.5200000000000001,0.12549900398011135,-0.024868329805051388,0.24718810188980372,False,,true,-1
CLINICAL,LR_ELNET,0.4800000000000001,0.10368220676663864,-0.03967049050833986,0.08761091468185793,False,,true,-1
CLINICAL,SVM_REG,0.6100000000000001,0.12942179105544785,0.11533424923428123,0.37312293949537617,False,,true,-1
CLINICAL,RF_SHALLOW,0.55,0.14577379737113252,0.05263200419923721,0.31363624999403605,False,,true,-1
BIOMARKERS,LR_L1,0.85,0.08660254037844384,0.5356182887467515,0.31981896143421373,False,,true,-1
BIOMARKERS,LR_ELNET,0.85,0.15000000000000002,0.4586005015602218,0.26433848017976563,False,,true,-1
BIOMARKERS,SVM_REG,0.86,0.09617692030835673,0.5327188724235731,0.30147678800314964,False,,true,-1
BIOMARKERS,RF_SHALLOW,0.9,0.11726039399558573,0.5681138830084189,0.3254739158770954,False,,true,-1
