variant,model,outer_fold,auc,mcc@0.5,best_inner_auc,clf__max_depth,clf__max_features,clf__min_samples_leaf,clf__n_estimators,clf__C,clf__l1_ratio,clf__n_neighbors,clf__p,clf__weights
BIOMARKERS,LR_L1,2,0.7428571428571429,0.4879500364742666,0.9099999999999999,,,,,0.1668100537200059,,,,
BIOMARKERS,LR_L1,3,0.8333333333333334,0.8333333333333334,0.95,,,,,27.825594022071257,,,,
BIOMARKERS,LR_L1,4,0.9000000000000001,0.6333333333333333,0.8800000000000001,,,,,27.825594022071257,,,,
BIOMARKERS,LR_L1,5,0.8,0.3105295017040594,0.925,,,,,2.1544346900318843,,,,
BIOMARKERS,LR_ELNET,1,0.8,0.5976143046671968,0.89,,,,,0.01291549665014884,0.1,,,
BIOMARKERS,LR_ELNET,2,0.7714285714285714,0.37796447300922725,0.9,,,,,0.01291549665014884,0.1,,,
BIOMARKERS,LR_ELNET,3,0.8333333333333334,0.8333333333333334,0.9600000000000002,,,,,27.825594022071257,0.5,,,
BIOMARKERS,LR_ELNET,4,0.8666666666666667,0.4485426135725303,0.9083333333333334,,,,,2.1544346900318843,0.1,,,
BIOMARKERS,LR_ELNET,5,0.8333333333333334,0.3105295017040594,0.925,,,,,0.5994842503189409,0.5,,,
BIOMARKERS,KNN,1,0.8999999999999999,0.7142857142857143,0.9099999999999999,,,,,,,5.0,2.0,distance
BIOMARKERS,KNN,2,0.9428571428571428,0.4879500364742666,0.9099999999999999,,,,,,,21.0,1.0,uniform
BIOMARKERS,KNN,3,0.9666666666666667,0.6900655593423543,0.9333333333333333,,,,,,,21.0,2.0,distance
BIOMARKERS,KNN,4,0.9666666666666668,0.6900655593423543,0.9183333333333333,,,,,,,15.0,1.0,uniform
BIOMARKERS,KNN,5,0.7666666666666667,0.6900655593423543,0.9558333333333333,,,,,,,21.0,1.0,uniform
