variant,outer_fold,model,row_id,y_true,y_prob
FULL,3,RF,28,0,0.388
FULL,3,RF,30,0,0.244
FULL,3,RF,35,1,0.574
FULL,3,RF,40,1,0.7
FULL,3,RF,41,1,0.6
FULL,3,RF,51,1,0.558
FULL,3,RF,54,1,0.61
FULL,3,HGB,1,0,0.0351917489374107
FULL,3,HGB,3,0,0.020881144333620344
FULL,3,HGB,11,0,0.07079007627916849
FULL,3,HGB,23,0,0.031602877957843695
FULL,3,HGB,28,0,0.022504966734745627
FULL,3,HGB,30,0,0.019876814217165327
FULL,3,HGB,35,1,0.9421780945233909
FULL,3,HGB,40,1,0.9615834680562454
FULL,3,HGB,41,1,0.9693226389519246
FULL,3,HGB,51,1,0.9296299126880153
FULL,3,HGB,54,1,0.9220239320213333
FULL,4,LogReg,2,0,0.30612080434012
FULL,4,LogReg,7,0,0.35465095459080365
FULL,4,LogReg,15,0,0.5744737757533863
FULL,4,LogReg,20,0,0.5648071627379664
FULL,4,LogReg,22,0,0.5666105521118385
FULL,4,LogReg,25,0,0.2587412517534516
FULL,4,LogReg,36,1,0.7153270329071111
FULL,4,LogReg,45,1,0.7290675529137196
FULL,4,LogReg,47,1,0.7292629201485429
FULL,4,LogReg,52,1,0.6750639620930649
FULL,4,LogReg,55,1,0.670560383469444
FULL,4,LinearSVM,2,0,0.3747671863729916
FULL,4,LinearSVM,7,0,0.10101229441659423
FULL,4,LinearSVM,15,0,0.6398400639126711
FULL,4,LinearSVM,20,0,0.43004929960001204
FULL,4,LinearSVM,22,0,0.04761963518899602
FULL,4,LinearSVM,25,0,0.09935845443789842
FULL,4,LinearSVM,36,1,0.8969436164434941
FULL,4,LinearSVM,45,1,0.7795988838307046
FULL,4,LinearSVM,47,1,0.8803777700462839
FULL,4,LinearSVM,52,1,0.16984470715787894
FULL,4,LinearSVM,55,1,0.8854015083632899
FULL,4,RF,2,0,0.314
FULL,4,RF,7,0,0.276
FULL,4,RF,15,0,0.312
FULL,4,RF,20,0,0.426
FULL,4,RF,22,0,0.256
FULL,4,RF,25,0,0.2
FULL,4,RF,36,1,0.766
FULL,4,RF,45,1,0.584
FULL,4,RF,47,1,0.676
FULL,4,RF,52,1,0.556
FULL,4,RF,55,1,0.73
FULL,4,HGB,2,0,0.05087346015776002
FULL,4,HGB,7,0,0.01954711288228594
FULL,4,HGB,15,0,0.3078285081603621
FULL,4,HGB,20,0,0.031666252760662345
FULL,4,HGB,22,0,0.0319194193983125
FULL,4,HGB,25,0,0.02672226391918896
FULL,4,HGB,36,1,0.9606525629345469
FULL,4,HGB,45,1,0.955298199551831
FULL,4,HGB,47,1,0.955298199551831
FULL,4,HGB,52,1,0.9664834363314427
FULL,4,HGB,55,1,0.9725901111176715
FULL,5,LogReg,0,0,0.011664814552565655
FULL,5,LogReg,6,0,0.03700720893897166
FULL,5,LogReg,18,0,0.1404200552604448
FULL,5,LogReg,21,0,0.09353511384863429
FULL,5,LogReg,24,0,0.00021463105106795175
FULL,5,LogReg,29,0,0.012140740097647137
FULL,5,LogReg,34,1,0.9774395820562454
FULL,5,LogReg,38,1,0.983148406357603
FULL,5,LogReg,39,1,0.9782954294611369
FULL,5,LogReg,42,1,0.9853156373458625
FULL,5,LogReg,53,1,0.9359011929483144
FULL,5,LinearSVM,0,0,0.15144617092339832
FULL,5,LinearSVM,6,0,0.2793842330161924
FULL,5,LinearSVM,18,0,0.06995558866021968
FULL,5,LinearSVM,21,0,0.24674490854397502
FULL,5,LinearSVM,24,0,0.01796039566310291
FULL,5,LinearSVM,29,0,0.11001545323118865
FULL,5,LinearSVM,34,1,0.8332324337619323
FULL,5,LinearSVM,38,1,0.8779741847915559
FULL,5,LinearSVM,39,1,0.8716649055338026
FULL,5,LinearSVM,42,1,0.8055643434567761
FULL,5,LinearSVM,53,1,0.7270430272958642
FULL,5,RF,0,0,0.074
FULL,5,RF,6,0,0.148
FULL,5,RF,18,0,0.094
FULL,5,RF,21,0,0.058
FULL,5,RF,24,0,0.064
FULL,5,RF,29,0,0.066
FULL,5,RF,34,1,0.904
FULL,5,RF,38,1,0.84
FULL,5,RF,39,1,0.936
FULL,5,RF,42,1,0.95
FULL,5,RF,53,1,0.892
FULL,5,HGB,0,0,0.026142019435817884
FULL,5,HGB,6,0,0.07010290165253742
FULL,5,HGB,18,0,0.13683980982890762
FULL,5,HGB,21,0,0.019403104245292912
FULL,5,HGB,24,0,0.04359062056586001
FULL,5,HGB,29,0,0.04166948130387775
FULL,5,HGB,34,1,0.9276939266560816
FULL,5,HGB,38,1,0.9470459619199072
FULL,5,HGB,39,1,0.9534574958192403
FULL,5,HGB,42,1,0.9685922879792921
FULL,5,HGB,53,1,0.9685922879792921
CLINICAL,1,LogReg,9,0,0.5
CLINICAL,1,LogReg,10,0,0.5
CLINICAL,1,LogReg,12,0,0.5
CLINICAL,1,LogReg,16,0,0.5
CLINICAL,1,LogReg,17,0,0.5
CLINICAL,1,LogReg,19,0,0.5
CLINICAL,1,LogReg,31,0,0.5
CLINICAL,1,LogReg,32,1,0.5
CLINICAL,1,LogReg,43,1,0.5
CLINICAL,1,LogReg,44,1,0.5
CLINICAL,1,LogReg,49,1,0.5
CLINICAL,1,LogReg,50,1,0.5
CLINICAL,1,LinearSVM,9,0,0.36602483105958566
CLINICAL,1,LinearSVM,10,0,0.40320293341150065
CLINICAL,1,LinearSVM,12,0,0.4782010568596479
CLINICAL,1,LinearSVM,16,0,0.5184739837391178
CLINICAL,1,LinearSVM,17,0,0.4470944274211246
CLINICAL,1,LinearSVM,19,0,0.40629160386902763
CLINICAL,1,LinearSVM,31,0,0.4505720784538036
CLINICAL,1,LinearSVM,32,1,0.4519793621381347
CLINICAL,1,LinearSVM,43,1,0.4241522835500862
CLINICAL,1,LinearSVM,44,1,0.9999999999999699
CLINICAL,1,LinearSVM,49,1,0.4903090484699684
CLINICAL,1,LinearSVM,50,1,0.38361461660864493
CLINICAL,1,RF,9,0,0.5412017339763074
CLINICAL,1,RF,10,0,0.5232812415777669
CLINICAL,1,RF,12,0,0.41596611098873876
CLINICAL,1,RF,16,0,0.3527162039762671
CLINICAL,1,RF,17,0,0.5262366448178943
CLINICAL,1,RF,19,0,0.509121387010319
CLINICAL,1,RF,31,0,0.4664602232073519
CLINICAL,1,RF,32,1,0.4972355120581455
CLINICAL,1,RF,43,1,0.48742914877911087
CLINICAL,1,RF,44,1,0.48371580440871786
CLINICAL,1,RF,49,1,0.5107720463075729
CLINICAL,1,RF,50,1,0.5010667080503809
CLINICAL,1,HGB,9,0,0.5524220216284418
CLINICAL,1,HGB,10,0,0.68164496401591
CLINICAL,1,HGB,12,0,0.2665786102198147
CLINICAL,1,HGB,16,0,0.17174865410630155
CLINICAL,1,HGB,17,0,0.48531572830910386
CLINICAL,1,HGB,19,0,0.5903539758131561
CLINICAL,1,HGB,31,0,0.5376326635696282
CLINICAL,1,HGB,32,1,0.3490167867351827
CLINICAL,1,HGB,43,1,0.2728155453062893
CLINICAL,1,HGB,44,1,0.6364725695198373
CLINICAL,1,HGB,49,1,0.36260571520808516
CLINICAL,1,HGB,50,1,0.7066740646778894
CLINICAL,2,LogReg,4,0,0.999999687484439
CLINICAL,2,LogReg,5,0,0.00037436545535125094
CLINICAL,2,LogReg,8,0,0.0003510995905863723
CLINICAL,2,LogReg,13,0,0.015517774846417875
CLINICAL,2,LogReg,14,0,0.9055792989357677
CLINICAL,2,LogReg,26,0,0.01788990407246157
CLINICAL,2,LogReg,27,0,0.34370157160270964
CLINICAL,2,LogReg,33,1,0.01160839297657563
CLINICAL,2,LogReg,37,1,0.9999931667073505
CLINICAL,2,LogReg,46,1,0.02303736972016732
CLINICAL,2,LogReg,48,1,0.00010963938814506427
CLINICAL,2,LogReg,56,1,3.352272705873086e-05
CLINICAL,2,LinearSVM,4,0,0.40259450037722394
CLINICAL,2,LinearSVM,5,0,0.46187426958189476
CLINICAL,2,LinearSVM,8,0,0.45555380839290294
CLINICAL,2,LinearSVM,13,0,0.4551590571778829
CLINICAL,2,LinearSVM,14,0,0.4353584017256635
CLINICAL,2,LinearSVM,26,0,0.43938335242540794
CLINICAL,2,LinearSVM,27,0,0.4489659405118588
CLINICAL,2,LinearSVM,33,1,0.4452928989620816
CLINICAL,2,LinearSVM,37,1,0.41553433149741087
CLINICAL,2,LinearSVM,46,1,0.45123075562993864
CLINICAL,2,LinearSVM,48,1,0.463372057427395
CLINICAL,2,LinearSVM,56,1,0.4816946420140431
CLINICAL,2,RF,4,0,0.5033992956021002
CLINICAL,2,RF,5,0,0.44677786402892045
CLINICAL,2,RF,8,0,0.32751303523254915
CLINICAL,2,RF,13,0,0.47202783398819564
CLINICAL,2,RF,14,0,0.44777795281060007
CLINICAL,2,RF,26,0,0.36506307830754287
CLINICAL,2,RF,27,0,0.4357896149857133
CLINICAL,2,RF,33,1,0.49268240623227716
CLINICAL,2,RF,37,1,0.5363138813742817
CLINICAL,2,RF,46,1,0.5130700935760596
CLINICAL,2,RF,48,1,0.3967609028322799
CLINICAL,2,RF,56,1,0.4414641349417276
CLINICAL,2,HGB,4,0,0.14217579506671402
CLINICAL,2,HGB,5,0,0.6036445782599021
CLINICAL,2,HGB,8,0,0.12061570943286273
CLINICAL,2,HGB,13,0,0.7291101817287606
CLINICAL,2,HGB,14,0,0.3409001500631832
CLINICAL,2,HGB,26,0,0.14032864548251903
CLINICAL,2,HGB,27,0,0.13788349096627714
CLINICAL,2,HGB,33,1,0.5608487148215525
CLINICAL,2,HGB,37,1,0.23800431247354747
CLINICAL,2,HGB,46,1,0.5657448041512313
CLINICAL,2,HGB,48,1,0.06555399482380535
CLINICAL,2,HGB,56,1,0.21709129194283086
CLINICAL,3,LogReg,1,0,0.504164623783667
CLINICAL,3,LogReg,3,0,0.4960382089570938
CLINICAL,3,LogReg,11,0,0.5218721809417317
CLINICAL,3,LogReg,23,0,0.49470407035108765
CLINICAL,3,LogReg,28,0,0.5383309051438103
CLINICAL,3,LogReg,30,0,0.5091276414623396
CLINICAL,3,LogReg,35,1,0.5540879060222457
CLINICAL,3,LogReg,40,1,0.5007920887055286
CLINICAL,3,LogReg,41,1,0.5358281485947161
CLINICAL,3,LogReg,51,1,0.44348796451180234
CLINICAL,3,LogReg,54,1,0.4740088056172971
CLINICAL,3,LinearSVM,1,0,0.4745208022058505
CLINICAL,3,LinearSVM,3,0,0.48058154830464467
CLINICAL,3,LinearSVM,11,0,0.42914361484922986
CLINICAL,3,LinearSVM,23,0,0.570065499796883
CLINICAL,3,LinearSVM,28,0,0.5602056636294471
CLINICAL,3,LinearSVM,30,0,0.4474166266632617
CLINICAL,3,LinearSVM,35,1,0.4835826033910215
CLINICAL,3,LinearSVM,40,1,0.4261850039555975
CLINICAL,3,LinearSVM,41,1,0.424972376061111
CLINICAL,3,LinearSVM,51,1,0.46573608275335193
CLINICAL,3,LinearSVM,54,1,0.4696739661771017
CLINICAL,3,RF,1,0,0.4948267471524239
CLINICAL,3,RF,3,0,0.41145497073636866
CLINICAL,3,RF,11,0,0.35190819682115637
CLINICAL,3,RF,23,0,0.2502722221137327
CLINICAL,3,RF,28,0,0.5150856026669431
CLINICAL,3,RF,30,0,0.4290770328428979
CLINICAL,3,RF,35,1,0.4952507440323618
CLINICAL,3,RF,40,1,0.4195333646634703
CLINICAL,3,RF,41,1,0.407507681792432
CLINICAL,3,RF,51,1,0.3403497177361497
CLINICAL,3,RF,54,1,0.4427848826061837
CLINICAL,3,HGB,1,0,0.45569836498637617
CLINICAL,3,HGB,3,0,0.19236803488500906
CLINICAL,3,HGB,11,0,0.04996556602574066
CLINICAL,3,HGB,23,0,0.0063883577087757585
CLINICAL,3,HGB,28,0,0.8521658752544115
CLINICAL,3,HGB,30,0,0.15624233330945486
CLINICAL,3,HGB,35,1,0.2737091415869018
CLINICAL,3,HGB,40,1,0.32247375077246354
CLINICAL,3,HGB,41,1,0.15805304233732667
CLINICAL,3,HGB,51,1,0.007570505608192632
CLINICAL,3,HGB,54,1,0.10228850708865753
CLINICAL,4,LogReg,2,0,0.4082174757052899
CLINICAL,4,LogReg,7,0,0.29623172056046154
CLINICAL,4,LogReg,15,0,0.6796436471749874
CLINICAL,4,LogReg,20,0,0.8540505152345504
CLINICAL,4,LogReg,22,0,0.3131056795166718
CLINICAL,4,LogReg,25,0,0.5262514249819514
CLINICAL,4,LogReg,36,1,0.7141488703363149
CLINICAL,4,LogReg,45,1,0.3818098996246441
CLINICAL,4,LogReg,47,1,0.6623497208451266
CLINICAL,4,LogReg,52,1,0.21986206357033589
CLINICAL,4,LogReg,55,1,0.6120621175128681
CLINICAL,4,LinearSVM,2,0,0.43642573880485597
CLINICAL,4,LinearSVM,7,0,0.44022786953810344
CLINICAL,4,LinearSVM,15,0,0.43156900889823535
CLINICAL,4,LinearSVM,20,0,0.4287110008257828
CLINICAL,4,LinearSVM,22,0,0.4390714686697949
CLINICAL,4,LinearSVM,25,0,0.43487411081458355
CLINICAL,4,LinearSVM,36,1,0.43210653894301565
CLINICAL,4,LinearSVM,45,1,0.4375908306090319
CLINICAL,4,LinearSVM,47,1,0.4330638243248103
CLINICAL,4,LinearSVM,52,1,0.44067670108310925
CLINICAL,4,LinearSVM,55,1,0.43363257265009547
CLINICAL,4,RF,2,0,0.4837551541780421
CLINICAL,4,RF,7,0,0.4838499938108447
CLINICAL,4,RF,15,0,0.5472334596394229
CLINICAL,4,RF,20,0,0.6077015188525167
CLINICAL,4,RF,22,0,0.41703815021786306
CLINICAL,4,RF,25,0,0.43066027321026273
CLINICAL,4,RF,36,1,0.6162442523509517
CLINICAL,4,RF,45,1,0.5027822331875893
CLINICAL,4,RF,47,1,0.6205389634343977
CLINICAL,4,RF,52,1,0.3592186359703886
CLINICAL,4,RF,55,1,0.5569367048361401
CLINICAL,4,HGB,2,0,0.5783426442477485
CLINICAL,4,HGB,7,0,0.2881429764934738
CLINICAL,4,HGB,15,0,0.6022167654484801
CLINICAL,4,HGB,20,0,0.5103492951347015
CLINICAL,4,HGB,22,0,0.18645946894801213
CLINICAL,4,HGB,25,0,0.3353870331199429
CLINICAL,4,HGB,36,1,0.6795170684301046
CLINICAL,4,HGB,45,1,0.5573946731714631
CLINICAL,4,HGB,47,1,0.7059289989955009
CLINICAL,4,HGB,52,1,0.24592528458575524
CLINICAL,4,HGB,55,1,0.6795170684301046
CLINICAL,5,LogReg,0,0,0.5
CLINICAL,5,LogReg,6,0,0.5
CLINICAL,5,LogReg,18,0,0.5
CLINICAL,5,LogReg,21,0,0.5
CLINICAL,5,LogReg,24,0,0.5
CLINICAL,5,LogReg,29,0,0.5
CLINICAL,5,LogReg,34,1,0.5
CLINICAL,5,LogReg,38,1,0.5
CLINICAL,5,LogReg,39,1,0.5
CLINICAL,5,LogReg,42,1,0.5
CLINICAL,5,LogReg,53,1,0.5
CLINICAL,5,LinearSVM,0,0,0.4570005352414591
CLINICAL,5,LinearSVM,6,0,0.5200238983962955
CLINICAL,5,LinearSVM,18,0,0.3542381041985773
CLINICAL,5,LinearSVM,21,0,0.20048413584183183
CLINICAL,5,LinearSVM,24,0,0.3380716200737009
CLINICAL,5,LinearSVM,29,0,0.5494806191057119
CLINICAL,5,LinearSVM,34,1,0.4708123825128255
CLINICAL,5,LinearSVM,38,1,0.3378139354780093
CLINICAL,5,LinearSVM,39,1,0.29807539224243235
CLINICAL,5,LinearSVM,42,1,0.34765961533476786
CLINICAL,5,LinearSVM,53,1,0.3601860109203607
CLINICAL,5,RF,0,0,0.48532156724181336
CLINICAL,5,RF,6,0,0.41550460170846065
CLINICAL,5,RF,18,0,0.46813303957655916
CLINICAL,5,RF,21,0,0.5292761919814113
CLINICAL,5,RF,24,0,0.6118658346325113
CLINICAL,5,RF,29,0,0.27296058744917356
CLINICAL,5,RF,34,1,0.455949430832388
CLINICAL,5,RF,38,1,0.44512847688003104
CLINICAL,5,RF,39,1,0.6455749510072467
CLINICAL,5,RF,42,1,0.4821746276198339
CLINICAL,5,RF,53,1,0.5949790787247252
CLINICAL,5,HGB,0,0,0.3665880453609696
CLINICAL,5,HGB,6,0,0.07108353320776874
CLINICAL,5,HGB,18,0,0.5251166941231281
CLINICAL,5,HGB,21,0,0.3185260594544954
CLINICAL,5,HGB,24,0,0.9480478728055787
CLINICAL,5,HGB,29,0,0.0152107926105287
CLINICAL,5,HGB,34,1,0.06859173524962545
CLINICAL,5,HGB,38,1,0.44052402957800113
CLINICAL,5,HGB,39,1,0.930463978287053
CLINICAL,5,HGB,42,1,0.11117586455611975
CLINICAL,5,HGB,53,1,0.9219773310088674
BIOMARKERS,1,LogReg,9,0,0.5604704497702742
BIOMARKERS,1,LogReg,10,0,0.563721105700114
BIOMARKERS,1,LogReg,12,0,0.5645793054184999
BIOMARKERS,1,LogReg,16,0,0.3467759044432659
BIOMARKERS,1,LogReg,17,0,0.34697362802584786
BIOMARKERS,1,LogReg,19,0,0.35015973209248474
BIOMARKERS,1,LogReg,31,0,0.40809984995185183
BIOMARKERS,1,LogReg,32,1,0.5551480071155993
BIOMARKERS,1,LogReg,43,1,0.5514935072792064
BIOMARKERS,1,LogReg,44,1,0.5514935072792064
BIOMARKERS,1,LogReg,49,1,0.5514935072792064
BIOMARKERS,1,LogReg,50,1,0.5692923573091263
BIOMARKERS,1,LinearSVM,9,0,0.4527382628508865
BIOMARKERS,1,LinearSVM,10,0,0.27455605594329646
BIOMARKERS,1,LinearSVM,12,0,0.6087158380724019
BIOMARKERS,1,LinearSVM,16,0,0.032118938024359764
BIOMARKERS,1,LinearSVM,17,0,0.03573731551120858
BIOMARKERS,1,LinearSVM,19,0,0.037427445078038864
BIOMARKERS,1,LinearSVM,31,0,0.12127036734499518
BIOMARKERS,1,LinearSVM,32,1,0.7067256225861317
BIOMARKERS,1,LinearSVM,43,1,0.5528348292043376
BIOMARKERS,1,LinearSVM,44,1,0.6586806916897782
BIOMARKERS,1,LinearSVM,49,1,0.8176039935542174
BIOMARKERS,1,LinearSVM,50,1,0.7329601496281739
BIOMARKERS,1,RF,9,0,0.6410541290739349
BIOMARKERS,1,RF,10,0,0.41740638913512046
BIOMARKERS,1,RF,12,0,0.7429723450696567
BIOMARKERS,1,RF,16,0,0.14463130299104984
BIOMARKERS,1,RF,17,0,0.08519402391479727
BIOMARKERS,1,RF,19,0,0.11897617288716704
BIOMARKERS,1,RF,31,0,0.2013083539402637
BIOMARKERS,1,RF,32,1,0.6824677078069938
BIOMARKERS,1,RF,43,1,0.7684076058602876
BIOMARKERS,1,RF,44,1,0.7476529865490829
BIOMARKERS,1,RF,49,1,0.8702137043425667
BIOMARKERS,1,RF,50,1,0.9437601762485882
BIOMARKERS,1,HGB,9,0,0.8602388233867458
BIOMARKERS,1,HGB,10,0,0.07298679012370501
BIOMARKERS,1,HGB,12,0,0.9765413721287828
BIOMARKERS,1,HGB,16,0,0.0003544603780045481
BIOMARKERS,1,HGB,17,0,0.0013251964662889535
BIOMARKERS,1,HGB,19,0,0.011048591180062572
BIOMARKERS,1,HGB,31,0,0.06708458114508051
BIOMARKERS,1,HGB,32,1,0.9722378268774068
BIOMARKERS,1,HGB,43,1,0.9167744284718544
BIOMARKERS,1,HGB,44,1,0.9565660499192846
BIOMARKERS,1,HGB,49,1,0.989739637174736
BIOMARKERS,1,HGB,50,1,0.9931424862798964
BIOMARKERS,2,LogReg,4,0,0.5183117238544638
BIOMARKERS,2,LogReg,5,0,0.5368381274446823
BIOMARKERS,2,LogReg,8,0,0.5188348952513964
BIOMARKERS,2,LogReg,13,0,0.48192143658155473
BIOMARKERS,2,LogReg,14,0,0.5367459667774759
BIOMARKERS,2,LogReg,26,0,0.40178545912426844
BIOMARKERS,2,LogReg,27,0,0.4335535406222439
BIOMARKERS,2,LogReg,33,1,0.49516869323085316
BIOMARKERS,2,LogReg,37,1,0.5179828650988593
BIOMARKERS,2,LogReg,46,1,0.5029587630906048
BIOMARKERS,2,LogReg,48,1,0.5272373879133114
BIOMARKERS,2,LogReg,56,1,0.5717766075779525
BIOMARKERS,2,LinearSVM,4,0,0.4918812031395552
BIOMARKERS,2,LinearSVM,5,0,0.5195855045814178
BIOMARKERS,2,LinearSVM,8,0,0.5
BIOMARKERS,2,LinearSVM,13,0,0.4532075422220167
BIOMARKERS,2,LinearSVM,14,0,0.5229478345825481
BIOMARKERS,2,LinearSVM,26,0,0.3383880912976285
BIOMARKERS,2,LinearSVM,27,0,0.3805380234331277
BIOMARKERS,2,LinearSVM,33,1,0.46690933810350294
BIOMARKERS,2,LinearSVM,37,1,0.5
BIOMARKERS,2,LinearSVM,46,1,0.48126003589948607
BIOMARKERS,2,LinearSVM,48,1,0.5
BIOMARKERS,2,LinearSVM,56,1,0.5766973329359969
BIOMARKERS,2,RF,4,0,0.2458557032056588
BIOMARKERS,2,RF,5,0,0.4565954106454125
BIOMARKERS,2,RF,8,0,0.6436245151429113
BIOMARKERS,2,RF,13,0,0.5277240395505263
BIOMARKERS,2,RF,14,0,0.2325777387554529
BIOMARKERS,2,RF,26,0,0.20609549554332274
BIOMARKERS,2,RF,27,0,0.09252391453974086
BIOMARKERS,2,RF,33,1,0.6024866436796416
BIOMARKERS,2,RF,37,1,0.6192253423806988
BIOMARKERS,2,RF,46,1,0.6448879174059647
