variant,model,precision,recall,threshold
CLINICAL,RF,0.5238095238095238,0.44,0.4972355120581455
CLINICAL,RF,0.5,0.4,0.5010667080503809
CLINICAL,RF,0.47368421052631576,0.36,0.5027822331875893
CLINICAL,RF,0.4444444444444444,0.32,0.5033992956021002
CLINICAL,RF,0.47058823529411764,0.32,0.509121387010319
CLINICAL,RF,0.5,0.32,0.5107720463075729
CLINICAL,RF,0.4666666666666667,0.28,0.5130700935760596
CLINICAL,RF,0.42857142857142855,0.24,0.5150856026669431
CLINICAL,RF,0.46153846153846156,0.24,0.5232812415777669
CLINICAL,RF,0.5,0.24,0.5262366448178943
CLINICAL,RF,0.5454545454545454,0.24,0.5292761919814113
CLINICAL,RF,0.6,0.24,0.5363138813742817
CLINICAL,RF,0.5555555555555556,0.2,0.5412017339763074
CLINICAL,RF,0.625,0.2,0.5472334596394229
CLINICAL,RF,0.7142857142857143,0.2,0.5569367048361401
CLINICAL,RF,0.6666666666666666,0.16,0.5949790787247252
CLINICAL,RF,0.6,0.12,0.6077015188525167
CLINICAL,RF,0.75,0.12,0.6118658346325113
CLINICAL,RF,1.0,0.12,0.6162442523509517
CLINICAL,RF,1.0,0.08,0.6205389634343977
CLINICAL,RF,1.0,0.04,0.6455749510072467
CLINICAL,RF,1.0,0.0,
FULL,RF,0.43859649122807015,1.0,0.006
FULL,RF,0.44642857142857145,1.0,0.042
FULL,RF,0.45454545454545453,1.0,0.058
FULL,RF,0.46296296296296297,1.0,0.064
FULL,RF,0.4716981132075472,1.0,0.066
FULL,RF,0.4807692307692308,1.0,0.074
FULL,RF,0.49019607843137253,1.0,0.086
FULL,RF,0.5,1.0,0.094
FULL,RF,0.5102040816326531,1.0,0.126
FULL,RF,0.5208333333333334,1.0,0.128
FULL,RF,0.5319148936170213,1.0,0.142
FULL,RF,0.5434782608695652,1.0,0.148
FULL,RF,0.5555555555555556,1.0,0.168
FULL,RF,0.5681818181818182,1.0,0.176
FULL,RF,0.5813953488372093,1.0,0.2
FULL,RF,0.5952380952380952,1.0,0.208
FULL,RF,0.6097560975609756,1.0,0.216
FULL,RF,0.625,1.0,0.244
FULL,RF,0.6410256410256411,1.0,0.256
FULL,RF,0.6578947368421053,1.0,0.274
FULL,RF,0.6756756756756757,1.0,0.276
FULL,RF,0.6944444444444444,1.0,0.278
FULL,RF,0.7142857142857143,1.0,0.3
FULL,RF,0.7352941176470589,1.0,0.312
FULL,RF,0.7575757575757576,1.0,0.314
FULL,RF,0.78125,1.0,0.342
FULL,RF,0.8064516129032258,1.0,0.354
FULL,RF,0.8333333333333334,1.0,0.36
FULL,RF,0.8620689655172413,1.0,0.362
FULL,RF,0.8928571428571429,1.0,0.388
FULL,RF,0.9259259259259259,1.0,0.426
FULL,RF,0.9615384615384616,1.0,0.446
FULL,RF,0.96,0.96,0.474
FULL,RF,1.0,0.96,0.512
FULL,RF,1.0,0.92,0.556
FULL,RF,1.0,0.88,0.558
FULL,RF,1.0,0.84,0.572
FULL,RF,1.0,0.8,0.574
FULL,RF,1.0,0.76,0.584
FULL,RF,1.0,0.72,0.6
FULL,RF,1.0,0.68,0.61
FULL,RF,1.0,0.64,0.676
FULL,RF,1.0,0.6,0.682
FULL,RF,1.0,0.56,0.7
FULL,RF,1.0,0.52,0.706
FULL,RF,1.0,0.48,0.73
FULL,RF,1.0,0.44,0.766
FULL,RF,1.0,0.4,0.798
FULL,RF,1.0,0.36,0.84
FULL,RF,1.0,0.32,0.862
FULL,RF,1.0,0.28,0.882
FULL,RF,1.0,0.24,0.892
FULL,RF,1.0,0.2,0.904
FULL,RF,1.0,0.16,0.934
FULL,RF,1.0,0.12,0.936
FULL,RF,1.0,0.08,0.938
FULL,RF,1.0,0.04,0.95
FULL,RF,1.0,0.0,
