variant,outer_fold,model,best_inner_score_auc,best_params
BIOMARKERS,1,HGB,0.7849999999999999,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 2, ""clf__max_leaf_nodes"": 15, ""clf__min_samples_leaf"": 10}"
BIOMARKERS,2,LogReg,0.8800000000000001,"{""clf__C"": 0.01, ""clf__penalty"": ""l2""}"
BIOMARKERS,2,LinearSVM,0.8800000000000001,"{""clf__C"": 0.01}"
BIOMARKERS,2,RF,0.9,"{""clf__max_depth"": 3, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 1, ""clf__min_samples_split"": 10}"
BIOMARKERS,2,HGB,0.845,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 2, ""clf__max_leaf_nodes"": 15, ""clf__min_samples_leaf"": 10}"
BIOMARKERS,3,LogReg,0.95,"{""clf__C"": 10.0, ""clf__penalty"": ""l1""}"
BIOMARKERS,3,LinearSVM,0.9416666666666668,"{""clf__C"": 10.0}"
BIOMARKERS,3,RF,0.9616666666666667,"{""clf__max_depth"": null, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 1, ""clf__min_samples_split"": 2}"
BIOMARKERS,3,HGB,0.9116666666666667,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 2, ""clf__max_leaf_nodes"": 15, ""clf__min_samples_leaf"": 10}"
BIOMARKERS,4,LogReg,0.9,"{""clf__C"": 1.0, ""clf__penalty"": ""l2""}"
BIOMARKERS,4,LinearSVM,0.8866666666666667,"{""clf__C"": 1.0}"
BIOMARKERS,4,RF,0.9099999999999999,"{""clf__max_depth"": null, ""clf__max_features"": 0.5, ""clf__min_samples_leaf"": 1, ""clf__min_samples_split"": 2}"
BIOMARKERS,4,HGB,0.8183333333333334,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 2, ""clf__max_leaf_nodes"": 15, ""clf__min_samples_leaf"": 10}"
BIOMARKERS,5,LogReg,0.925,"{""clf__C"": 1.0, ""clf__penalty"": ""l1""}"
BIOMARKERS,5,LinearSVM,0.915,"{""clf__C"": 0.1}"
BIOMARKERS,5,RF,1.0,"{""clf__max_depth"": null, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 1, ""clf__min_samples_split"": 2}"
BIOMARKERS,5,HGB,0.9608333333333334,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 2, ""clf__max_leaf_nodes"": 15, ""clf__min_samples_leaf"": 10}"
