variant,model,oof_n,pos_rate,roc_auc,roc_auc_boot_mean,roc_auc_ci95_lo,roc_auc_ci95_hi,auprc,auprc_boot_mean,auprc_ci95_lo,auprc_ci95_hi,brier,brier_boot_mean,brier_ci95_lo,brier_ci95_hi
BIOMARKERS,RF,57,0.43859649122807015,0.9299999999999999,0.9311937499999999,0.85371875,0.9862812500000002,0.8928080256730953,0.8992284757984947,0.7905552879213089,0.9857621060670834,0.1114693322362291,0.11127559471371533,0.07788603269751587,0.1485417202283921
CLINICAL,RF,57,0.43859649122807015,0.6025,0.6014900000000001,0.44625,0.7450312500000003,0.5796704034296996,0.5930271852198707,0.4526520386517456,0.7322515174872375,0.23646416179051138,0.2362593684102422,0.21716334793861078,0.2561728844010101
FULL,RF,57,0.43859649122807015,0.99875,0.9987400000000001,0.9924999999999999,1.0,0.9984615384615385,0.9985949603993283,0.9914285714285714,1.0000000000000002,0.07772905263157893,0.07750095274853802,0.05960880526315789,0.0960098701754386
