variant,model,bin,mean_predicted_prob,fraction_of_positives
BIOMARKERS,RF,10,0.890394776118231,1.0
CLINICAL,HGB,1,0.035546825337778,0.5
CLINICAL,HGB,2,0.1138959584557008,0.3333333333333333
CLINICAL,HGB,3,0.1629358587535618,0.2
CLINICAL,HGB,4,0.2387971799022078,0.6666666666666666
CLINICAL,HGB,5,0.3131898519150767,0.3333333333333333
CLINICAL,HGB,6,0.3948865883737229,0.6
CLINICAL,HGB,7,0.5280385126560777,0.1666666666666666
CLINICAL,HGB,8,0.5795013808964338,0.4
CLINICAL,HGB,9,0.6644542079418932,0.6666666666666666
CLINICAL,HGB,10,0.8480732172937602,0.5
CLINICAL,LinearSVM,1,0.3127238005282199,0.5
CLINICAL,LinearSVM,2,0.3869857493743906,0.3333333333333333
CLINICAL,LinearSVM,3,0.4239109991779976,0.8
CLINICAL,LinearSVM,4,0.4323982784133284,0.5
CLINICAL,LinearSVM,5,0.4380096102954762,0.1666666666666666
CLINICAL,LinearSVM,6,0.4458893189282872,0.4
CLINICAL,LinearSVM,7,0.4535825995056869,0.3333333333333333
CLINICAL,LinearSVM,8,0.4662937516905138,0.8
CLINICAL,LinearSVM,9,0.481481616874196,0.5
CLINICAL,LinearSVM,10,0.6197082774445709,0.1666666666666666
CLINICAL,LogReg,1,0.0046657991640224,0.5
CLINICAL,LogReg,2,0.2023047181738012,0.3333333333333333
CLINICAL,LogReg,3,0.4404456431620242,0.6
CLINICAL,LogReg,4,0.4998349253732122,0.4166666666666667
CLINICAL,LogReg,5,0.5089891337233168,0.25
CLINICAL,LogReg,6,0.571485037183453,0.6666666666666666
CLINICAL,LogReg,7,0.8589025309789017,0.3333333333333333
CLINICAL,RF,1,0.3159533272215047,0.1666666666666666
CLINICAL,RF,2,0.3925849785579121,0.5
CLINICAL,RF,3,0.4224549863846465,0.2
CLINICAL,RF,4,0.4432871543755293,0.5
CLINICAL,RF,5,0.4714101599388411,0.5
CLINICAL,RF,6,0.4866076540484176,0.4
CLINICAL,RF,7,0.4990935400138336,0.6666666666666666
CLINICAL,RF,8,0.5142660742277323,0.4
CLINICAL,RF,9,0.5395331027709096,0.3333333333333333
CLINICAL,RF,10,0.6161507665003916,0.6666666666666666
FULL,HGB,1,0.0212464418515433,0.1428571428571428
FULL,HGB,2,0.0236334587821451,0.0
FULL,HGB,3,0.031366699993383,0.0
FULL,HGB,4,0.0563001656694312,0.0
FULL,HGB,5,0.2088076917441119,0.0
FULL,HGB,6,0.9018231370941286,1.0
FULL,HGB,7,0.9471513106757028,1.0
FULL,HGB,8,0.964643749574562,1.0
FULL,HGB,9,0.971982768531662,1.0
FULL,LinearSVM,1,0.0018763208595284,0.1666666666666666
FULL,LinearSVM,2,0.0271773759796003,0.0
FULL,LinearSVM,3,0.0963908778598926,0.0
FULL,LinearSVM,4,0.1525104280546638,0.3333333333333333
FULL,LinearSVM,5,0.3100172806981955,0.0
FULL,LinearSVM,6,0.4929409677598631,0.4
FULL,LinearSVM,7,0.6540932923850572,0.5
FULL,LinearSVM,8,0.7360162167381797,1.0
FULL,LinearSVM,9,0.8379629341873497,1.0
FULL,LinearSVM,10,0.9226812621854152,1.0
FULL,LogReg,1,0.0020828331076692,0.0
FULL,LogReg,2,0.0513534582565506,0.0
FULL,LogReg,3,0.2587935041258299,0.0
FULL,LogReg,4,0.3637513373388215,0.0
FULL,LogReg,5,0.5280094793631513,0.0
FULL,LogReg,6,0.5678477732423902,0.4
FULL,LogReg,7,0.6873139114101074,1.0
FULL,LogReg,8,0.7158982920703588,1.0
FULL,LogReg,9,0.8699042409069389,1.0
FULL,LogReg,10,0.9809309760335404,1.0
FULL,RF,1,0.0516666666666666,0.0
FULL,RF,2,0.1206666666666666,0.0
FULL,RF,3,0.1936,0.0
FULL,RF,4,0.2713333333333333,0.0
FULL,RF,5,0.3406666666666667,0.0
FULL,RF,6,0.4492,0.4
FULL,RF,7,0.5740000000000001,1.0
FULL,RF,8,0.6748000000000001,1.0
FULL,RF,9,0.8130000000000001,1.0
FULL,RF,10,0.9256666666666667,1.0
