variant,winner_model,oof_auc,oof_auc_ci_low,oof_auc_ci_high,oof_auprc,oof_auprc_ci_low,oof_auprc_ci_high,oof_brier,prevalence,n
BIOMARKERS,RF,0.9299999999999999,0.85371875,0.9875,0.8928080256730953,0.792385456865843,0.98581992796296,0.1114693322362291,0.43859649122807015,57
CLINICAL,RF,0.6025,0.44625,0.7425312499999998,0.5796704034296996,0.4518269171315806,0.7279531497485157,0.23646416179051138,0.43859649122807015,57
FULL,RF,0.99875,0.9924999999999999,1.0,0.9984615384615385,0.9914285714285714,1.0000000000000002,0.07772905263157893,0.43859649122807015,57
