variant,model,auc_mean,auc_sd,mcc_mean,mcc_sd,brier_mean,brier_sd,use_rfe_effective,n_select_effective,n_samples,n_features
FULL,LR_L1,1.0,0.0,0.9690308509457033,0.0692491224907307,0.06348887598205133,0.025363468156035695,False,,57,53
CLINICAL,RF_SHALLOW,0.6123809523809524,0.1474499799886031,0.19832594016365018,0.31757419305194895,0.2403784123599293,0.014294547564341054,False,,57,42
BIOMARKERS,RF_SHALLOW,0.9161904761904763,0.07638368359919154,0.739047619047619,0.1513881347627309,0.13665283805357356,0.021057505637577977,False,,57,10
